epoch,train_id,segment,speaker,scene_id,filepath,filename,duration,rms,max_abs,std,energy,zero_crossing_rate,is_mostly_silent,dynamic_range,file_size,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,low_freq_energy,mid_freq_energy,high_freq_energy,spectral_entropy,spectral_par,high_freq_ratio,is_low_complexity,is_missing_highs,is_overly_smooth
8,08,004,2,08_ha_seg004,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch008_train_08_ha_seg004_proc_spk2.wav,epoch008_train_08_ha_seg004_proc_spk2.wav,4.0,0.0006289979,0.0020446777,0.0005926703,0.025320854,0.6386679997519841,True,10.239374,128078,4493.544065841347,3241.3487874241105,7910.280257936508,0.0062929974,0.3138919,0.0017851851,0.68432313,3.2135344,489.6959,3.3043451,True,False,True
0,16,020,0,16_ha_seg020,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch000_train_16_ha_seg020_proc_spk0.wav,epoch000_train_16_ha_seg020_proc_spk0.wav,1.116,0.0010654032,0.007446289,0.0010359967,0.02026806,0.4291015625,False,16.888437,35790,3761.924724855347,2497.6255783503316,6948.883928571428,0.39797175,0.3295071,0.28239498,0.38809794,9.069171,75.62393,1.0451382,False,False,False
6,16,020,1,16_ha_seg020,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch006_train_16_ha_seg020_proc_spk1.wav,epoch006_train_16_ha_seg020_proc_spk1.wav,1.116,0.0003140323,0.0013122559,0.0003000812,0.0017608926,0.8604771205357142,True,12.420607,35790,4138.541526148105,2849.0095466853954,7777.901785714285,0.046609156,0.15448266,0.029065702,0.81645167,2.8339548,615.41626,3.990059,True,False,True
16,16,020,2,16_ha_seg020,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch016_train_16_ha_seg020_proc_spk2.wav,epoch016_train_16_ha_seg020_proc_spk2.wav,1.116,0.00015037932,0.0009765625,0.00015034717,0.00040379446,0.29189453125,True,16.24966,35790,3724.6669347453794,2775.221108388763,7269.196428571428,0.15454501,0.63521564,0.09691485,0.26786953,6.4665203,259.40115,0.99409735,True,False,False
0,08,004,1,08_ha_seg004,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch000_train_08_ha_seg004_proc_spk1.wav,epoch000_train_08_ha_seg004_proc_spk1.wav,4.0,0.0032093897,0.013977051,0.0032082875,0.65921164,0.3324110243055556,False,12.779835,128078,3424.745835007525,2499.5494156612485,6696.800595238095,0.17194724,0.5934962,0.18809105,0.21841282,6.5935793,190.4201,0.66370094,True,False,False
14,11,145,2,11_ha_seg145,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch014_train_11_ha_seg145_proc_spk2.wav,epoch014_train_11_ha_seg145_proc_spk2.wav,0.348,0.00039824005,0.0018920898,0.00039764217,0.0008830577,0.265625,True,13.535718,11214,3777.124591807164,3030.9717027083507,7569.602272727273,0.068263754,0.67330396,0.021801315,0.30489475,5.5277786,228.30627,1.4397839,True,False,True
14,11,145,0,11_ha_seg145,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch014_train_11_ha_seg145_proc_spk0.wav,epoch014_train_11_ha_seg145_proc_spk0.wav,0.348,0.0006297397,0.0035705566,0.00060714385,0.0022081137,0.40074573863636365,True,15.071359,11214,3792.4937714206285,2472.5017997378727,6774.147727272727,0.3362908,0.30980638,0.24475826,0.44543532,8.87982,88.633484,0.84399486,False,False,False
14,16,020,1,16_ha_seg020,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch014_train_16_ha_seg020_proc_spk1.wav,epoch014_train_16_ha_seg020_proc_spk1.wav,1.116,0.0001557948,0.00079345703,0.000102695354,0.0004334012,0.18504464285714287,True,14.138852,35790,3815.751253004557,2885.461602740904,7512.723214285715,0.034887735,0.7615566,0.015119307,0.22332406,3.1510258,560.9114,0.9747507,True,False,True
10,08,004,0,08_ha_seg004,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch010_train_08_ha_seg004_proc_spk0.wav,epoch010_train_08_ha_seg004_proc_spk0.wav,4.0,0.0009192701,0.004211426,0.0009166113,0.054083683,0.44065057663690477,True,13.219625,128078,3582.307034724348,2539.0419562117813,6921.8129960317465,0.13881095,0.30007583,0.2381363,0.4617878,7.7944565,57.866035,0.9689439,True,False,False
8,08,004,1,08_ha_seg004,data/working_dir/experiments/ha-joint-9/train_ha/train_samples/epoch008_train_08_ha_seg004_proc_spk1.wav,epoch008_train_08_ha_seg004_proc_spk1.wav,4.0,0.00016248695,0.0007324219,0.0001615692,0.0016897283,0.648650638640873,True,13.078321,128078,3923.7944765630987,2910.2769317258662,7726.3764880952385,0.061596863,0.24074776,0.040045016,0.71920705,3.7581058,501.41833,3.4936059,True,False,True
