epoch,train_id,segment,speaker,scene_id,filepath,filename,duration,rms,max_abs,std,energy,zero_crossing_rate,is_mostly_silent,dynamic_range,file_size,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,low_freq_energy,mid_freq_energy,high_freq_energy,spectral_entropy,spectral_par,high_freq_ratio,is_low_complexity,is_missing_highs,is_overly_smooth
10,16,020,0,16_ha_seg020,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch010_train_16_ha_seg020_proc_spk0.wav,epoch010_train_16_ha_seg020_proc_spk0.wav,1.116,0.08849328,0.31225586,0.08794263,139.83144,0.05659877232142857,False,10.952005087444043,35790,1246.988480887999,1860.0922523208465,2697.5446428571427,0.00877844,0.9837337136268616,0.011416226625442505,0.004850012715905905,5.777602,66.32320430411202,0.014026263433978467,True,False,True
14,16,020,2,16_ha_seg020,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch014_train_16_ha_seg020_proc_spk2.wav,epoch014_train_16_ha_seg020_proc_spk2.wav,1.116,2.678966e-05,0.00012207031,2.673639e-05,1.2814999e-05,0.31025390625,True,13.169615640335055,35790,3925.983978751448,2625.363262582734,7112.5,0.40279606,0.31075894832611084,0.21372844278812408,0.4755125641822815,9.629059,5.527015811195627,1.3925515543865121,False,False,False
14,16,020,0,16_ha_seg020,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch014_train_16_ha_seg020_proc_spk0.wav,epoch014_train_16_ha_seg020_proc_spk0.wav,1.116,0.11967207,0.42745972,0.1190952,255.72298,0.038783482142857144,False,11.058047268055942,35790,878.6111707457651,1548.1909236804129,1366.0714285714287,0.0025268397,0.9966080784797668,0.002414882415905595,0.00097697286400944,5.269886,101.5012057420146,0.002669697906822363,True,True,True
10,16,020,2,16_ha_seg020,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch010_train_16_ha_seg020_proc_spk2.wav,epoch010_train_16_ha_seg020_proc_spk2.wav,1.116,0.0011350055,0.020141602,0.00107511,0.02300277,0.20481305803571428,False,24.98184416983846,35790,2867.8585585888336,2503.570668816982,6135.267857142857,0.13874035,0.769313633441925,0.16749490797519684,0.06319142878055573,7.1538405,131.31634527747713,0.16129009910270603,True,False,False
14,16,020,1,16_ha_seg020,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch014_train_16_ha_seg020_proc_spk1.wav,epoch014_train_16_ha_seg020_proc_spk1.wav,1.116,4.5067878e-05,0.00030517578,4.406571e-05,3.6267564e-05,0.46828962053571427,True,16.611732006543328,35790,3953.719998724184,2476.9163465557663,7016.741071428572,0.3863324,0.23897582292556763,0.2830718755722046,0.4779523015022278,9.442951,59.62016999233769,1.1581514602937744,False,False,False
12,11,145,1,11_ha_seg145,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch012_train_11_ha_seg145_proc_spk1.wav,epoch012_train_11_ha_seg145_proc_spk1.wav,0.348,0.0015310526,0.005126953,0.0013642462,0.013052071,0.13884943181818182,False,10.497327773151406,11214,2608.451220114691,2436.590409254102,5877.130681818182,0.07658836,0.874965488910675,0.0750914141535759,0.04994305595755577,5.1565495,234.97096673779055,0.1226374337918108,True,False,True
2,08,004,2,08_ha_seg004,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch002_train_08_ha_seg004_proc_spk2.wav,epoch002_train_08_ha_seg004_proc_spk2.wav,4.0,0.0056611556,0.02709961,0.0041706143,2.0511155,0.10001627604166667,False,13.601143492966637,128078,2215.914177446899,2423.899611676056,5424.169146825397,0.032495726,0.9052501916885376,0.05871596559882164,0.036033712327480316,4.4581013,473.40796646249123,0.13509981633947943,True,False,True
6,08,004,0,08_ha_seg004,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch006_train_08_ha_seg004_proc_spk0.wav,epoch006_train_08_ha_seg004_proc_spk0.wav,4.0,0.071146324,0.4144287,0.059119117,323.95517,0.05832635788690476,False,15.305946129016935,128078,1179.4462847065913,1666.3149205244085,2093.75,0.003925681,0.9588805437088013,0.03865650296211243,0.0024630490224808455,4.951812,348.75613170026674,0.008750320607893275,True,True,True
6,08,004,1,08_ha_seg004,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch006_train_08_ha_seg004_proc_spk1.wav,epoch006_train_08_ha_seg004_proc_spk1.wav,4.0,0.0005399629,0.008972168,0.00053109997,0.018659838,0.47532242063492064,True,24.41050861359897,128078,3654.090602365439,2620.341945129291,6922.991071428572,0.23904881,0.5495007038116455,0.12285691499710083,0.32764238119125366,7.1815147,129.83989913692716,1.2350028508908995,True,False,False
16,11,145,2,11_ha_seg145,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch016_train_11_ha_seg145_proc_spk2.wav,epoch016_train_11_ha_seg145_proc_spk2.wav,0.348,2.0448924e-06,3.0517578e-05,2.0448852e-06,2.3283064e-08,0.004083806818181818,True,23.43521947235933,11214,2613.562255438694,1629.2470185963634,4512.073863636364,0.79400593,0.11221916228532791,0.34901121258735657,0.5387696027755737,9.405626,7.2296669013482955,1.6103380268353698,False,False,False
12,11,145,0,11_ha_seg145,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch012_train_11_ha_seg145_proc_spk0.wav,epoch012_train_11_ha_seg145_proc_spk0.wav,0.348,0.09849828,0.34622192,0.097526126,54.02024,0.059614701704545456,False,10.918517719412987,11214,1088.968609710078,1634.3091302042465,1786.9318181818182,0.003851734,0.9791979789733887,0.01830757036805153,0.0024944907054305077,5.70688,120.25170265454895,0.0094432762971098,True,True,True
12,11,145,2,11_ha_seg145,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch012_train_11_ha_seg145_proc_spk2.wav,epoch012_train_11_ha_seg145_proc_spk2.wav,0.348,0.0014735013,0.0101623535,0.0014333577,0.012089275,0.11811967329545454,False,16.77281641165592,11214,1983.2947370480322,2188.7269318224835,4665.482954545455,0.0384768,0.8846292495727539,0.09724999219179153,0.018120676279067993,6.482085,66.01099484011489,0.0567556386695699,True,False,True
16,11,145,0,11_ha_seg145,data/working_dir/experiments/ha-joint-10/train_ha/train_samples/epoch016_train_11_ha_seg145_proc_spk0.wav,epoch016_train_11_ha_seg145_proc_spk0.wav,0.348,0.14922985,0.5718384,0.14715473,123.99686,0.051225142045454544,False,11.668351109102593,11214,880.7508005117427,1387.40063752004,1079.5454545454545,0.002106945,0.9946298599243164,0.004961390979588032,0.00040875491686165333,5.220853,141.7276718675056,0.0009020550899743796,True,True,True
