epoch,train_id,segment,speaker,scene_id,filepath,filename,duration,rms,max_abs,std,energy,zero_crossing_rate,is_mostly_silent,dynamic_range,file_size,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,low_freq_energy,mid_freq_energy,high_freq_energy,spectral_entropy,spectral_par,high_freq_ratio,is_low_complexity,is_missing_highs,is_overly_smooth
0,16,020,0,16_ha_seg020,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch000_train_16_ha_seg020_proc_spk0.wav,epoch000_train_16_ha_seg020_proc_spk0.wav,1.116,0.0040353206,0.018829346,0.0039347867,0.29076377,0.1914341517857143,False,13.379124,35790,2591.1162007441426,2483.6655509804655,5965.625,0.11446796,0.785606,0.1305577,0.08383627,7.415601,64.843666,0.24601765,True,False,False
0,08,004,1,08_ha_seg004,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch000_train_08_ha_seg004_proc_spk1.wav,epoch000_train_08_ha_seg004_proc_spk1.wav,4.0,0.006441979,0.027008057,0.006334717,2.6559422,0.20957728794642858,False,12.449467,128078,2488.1302188099335,2566.042718772906,6074.094742063492,0.04256956,0.7816867,0.08286287,0.13545045,5.475214,180.35817,0.61278766,True,False,True
2,08,004,0,08_ha_seg004,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch002_train_08_ha_seg004_proc_spk0.wav,epoch002_train_08_ha_seg004_proc_spk0.wav,4.0,0.0049555423,0.03326416,0.0042973524,1.5716736,0.11863684275793651,False,16.53769,128078,1995.052166841146,2324.582465455779,4870.783730158731,0.029966881,0.893945,0.081403725,0.024651274,5.9601607,288.54565,0.091658086,True,False,True
2,11,145,0,11_ha_seg145,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch002_train_11_ha_seg145_proc_spk0.wav,epoch002_train_11_ha_seg145_proc_spk0.wav,0.348,0.011707761,0.043762207,0.010113019,0.76321507,0.10711115056818182,False,11.452499,11214,1792.8646148922148,1827.87326641821,3786.221590909091,0.033987187,0.7846149,0.20007855,0.015306549,6.1347485,282.36084,0.015832318,True,False,True
4,16,020,0,16_ha_seg020,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch004_train_16_ha_seg020_proc_spk0.wav,epoch004_train_16_ha_seg020_proc_spk0.wav,1.116,0.004745061,0.022888184,0.0047331885,0.4020386,0.1385463169642857,False,13.667374,35790,2039.2128159723395,2172.1910262281194,4669.866071428572,0.07099987,0.86688757,0.10745917,0.025653258,7.231633,31.50427,0.055314668,True,False,True
4,11,145,2,11_ha_seg145,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch004_train_11_ha_seg145_proc_spk2.wav,epoch004_train_11_ha_seg145_proc_spk2.wav,0.348,0.005540823,0.018615723,0.0035934746,0.17094162,0.07399680397727272,False,10.526096,11214,2077.112899922356,2097.857556036589,4504.971590909091,0.034924332,0.8728789,0.108417355,0.018703712,3.900727,552.08777,0.041552804,True,False,True
2,08,004,1,08_ha_seg004,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch002_train_08_ha_seg004_proc_spk1.wav,epoch002_train_08_ha_seg004_proc_spk1.wav,4.0,0.006771535,0.024169922,0.0032150543,2.9346359,0.029455760168650792,False,11.05175,128078,2019.7592586799922,2433.3546242014568,5205.729166666667,0.009139913,0.95567167,0.02192211,0.022406384,2.2282429,690.6612,0.100246266,True,False,True
0,08,004,0,08_ha_seg004,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch000_train_08_ha_seg004_proc_spk0.wav,epoch000_train_08_ha_seg004_proc_spk0.wav,4.0,0.0122130895,0.035736084,0.005179394,9.546212,0.016795324900793652,False,9.325621,128078,2033.3662923945135,2399.534582554014,5287.264384920635,0.01080622,0.97196543,0.02036222,0.0076723346,2.0437362,721.5052,0.021148665,True,False,True
4,11,145,1,11_ha_seg145,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch004_train_11_ha_seg145_proc_spk1.wav,epoch004_train_11_ha_seg145_proc_spk1.wav,0.348,0.0045917667,0.019744873,0.0040462185,0.11739751,0.13676313920454544,False,12.669472,11214,2213.647831828369,2058.0785146090534,4511.363636363636,0.067224406,0.6771976,0.27015948,0.05264303,6.577714,264.46692,0.101443574,True,False,True
4,08,004,2,08_ha_seg004,data/working_dir/experiments/ha-joint-8/train_ha/train_samples/epoch004_train_08_ha_seg004_proc_spk2.wav,epoch004_train_08_ha_seg004_proc_spk2.wav,4.0,0.0049908203,0.019714355,0.0042197932,1.5941303,0.23383634052579366,False,11.932197,128078,2293.174841532303,2577.6564691838607,5933.283730158731,0.021769648,0.9003987,0.029992068,0.06960923,3.925517,318.72583,0.31697065,True,False,True
