base_name,epoch,train_id,segment,speaker_id,sample_rate,target_length,processed_length,snr_db,si_sdr_db,pesq,stoi,noisy_snr_db,snr_improvement_db,sdr,sir,sar
epoch012_train_23_ha_seg122,12,23,122,0,16000,37312,37312,-15.124221090030602,-24.548225081574124,1.0846813917160034,0.6173302770321603,-10.56336331506425,-4.560857774966353,,,
epoch012_train_23_ha_seg122,12,23,122,1,16000,37312,37312,-0.11388169991559013,-35.109488156054546,1.1068115234375,0.3068399100232817,-7.38427897784312,7.27039727792753,,,
epoch012_train_23_ha_seg122,12,23,122,2,16000,37312,37312,-2.3506901359383514,-60.83910583003232,1.1485174894332886,1e-05,-21.31620877970086,18.96551864376251,,,
epoch018_train_10_ha_seg138,18,10,138,0,16000,24000,24000,-19.39118723342512,-20.94914465617617,1.1239985227584839,0.4234864237408495,-12.611290133306696,-6.779897100118426,,,
epoch018_train_10_ha_seg138,18,10,138,1,16000,24000,24000,-0.15473547448741956,-27.72134757005332,1.0590269565582275,0.2307627235656132,-6.421935935857828,6.267200461370408,,,
epoch018_train_10_ha_seg138,18,10,138,2,16000,24000,24000,-6.077861015393009,-34.44631300573652,1.0794111490249634,0.4685651596048653,-25.240914813260318,19.16305379786731,,,
epoch022_train_17_ha_seg064,22,17,64,0,16000,8640,8640,-10.349419998539837,-10.252040147717054,1.1032485961914062,0.32959730935340376,-9.228842913650602,-1.1205770848892342,,,
epoch022_train_17_ha_seg064,22,17,64,1,16000,8640,8640,-0.08412486180023931,-30.681948775872705,1.0548802614212036,0.44234473289021403,-2.8645027132427514,2.780377851442512,,,
epoch022_train_17_ha_seg064,22,17,64,2,16000,8640,8640,-0.09989143951046339,-39.97334708160353,1.0569988489151,0.35369696283360386,-3.968562395238143,3.8686709557276795,,,
epoch038_train_01_ha_seg102,38,1,102,0,16000,12224,12224,-9.16748654439447,-17.050753761167293,1.0461968183517456,0.5480307436782176,-32.118043812836,22.95055726844153,,,
epoch038_train_01_ha_seg102,38,1,102,1,16000,12224,12224,-0.17623417260105168,-27.7740207899318,1.1110273599624634,1e-05,-26.016574360457586,25.840340187856533,,,
epoch038_train_01_ha_seg102,38,1,102,2,16000,12224,12224,-0.09344347723579777,-30.078009242941167,1.0405491590499878,-0.11969976979607812,-23.216979306540118,23.12353582930432,,,
epoch020_train_16_ha_seg023,20,16,23,0,16000,64000,64000,-24.30825733843922,-16.29504499366569,1.0710766315460205,0.49479157898876014,-8.20511966925536,-16.10313766918386,,,
epoch020_train_16_ha_seg023,20,16,23,1,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch020_train_16_ha_seg023,20,16,23,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch006_train_15_ha_seg145,6,15,145,0,16000,64000,64000,-12.210259510015014,-20.769903411568418,1.0866920948028564,0.6002239077011283,-12.160577858821135,-0.049681651193878906,,,
epoch006_train_15_ha_seg145,6,15,145,1,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch006_train_15_ha_seg145,6,15,145,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch038_train_11_ha_seg071,38,11,71,0,16000,64000,64000,-12.383565429131593,-13.378429530402824,1.1602051258087158,0.4330075049632705,-9.024905724896248,-3.358659704235345,,,
epoch038_train_11_ha_seg071,38,11,71,1,16000,64000,64000,-0.023967106636308334,-44.036541481564896,2.3588366508483887,0.2016105031207187,-9.486479253510634,9.462512146874326,,,
epoch038_train_11_ha_seg071,38,11,71,2,16000,64000,64000,-inf,,,0.0,-inf,,,,
epoch018_train_28_ha_seg110,18,28,110,0,16000,10176,10176,-9.384222479334934,-11.194623196691007,1.1534006595611572,0.7253660527596778,-4.987445842322444,-4.39677663701249,,,
epoch018_train_28_ha_seg110,18,28,110,1,16000,10176,10176,-0.17038962018860393,-34.26302552844066,1.0306518077850342,0.344712748595369,-10.960708826599836,10.790319206411231,,,
