speaker,epoch,segment,rms,is_silent,spectral_centroid_hz,spectral_entropy,spectral_bandwidth,high_freq_ratio,low_freq_energy,mid_freq_energy,high_freq_energy,is_missing_highs,is_low_complexity,is_overly_smooth,dynamic_range,filename
0,0,08_ha_seg004,0.03220964968204498,False,1744.1295273598275,7.222264766693115,1920.2526100358039,0.027565835043787956,0.7987015843391418,0.18600374460220337,0.015294685959815979,False,True,True,16.585756301879883,epoch000_train_08_ha_seg004_proc_spk0.wav
0,0,11_ha_seg145,0.03076283633708954,False,1960.9482140020968,6.135707378387451,2033.2902017659624,0.049012862145900726,0.8158782124519348,0.1692134141921997,0.01490833144634962,False,True,True,12.455224990844727,epoch000_train_11_ha_seg145_proc_spk0.wav
0,0,16_ha_seg020,0.028176672756671906,False,1936.259434264473,7.039115905761719,2134.2206028312594,0.03439502790570259,0.8684870600700378,0.10798633098602295,0.023526523262262344,False,True,True,14.00670051574707,epoch000_train_16_ha_seg020_proc_spk0.wav
0,2,08_ha_seg004,0.03605489432811737,False,1567.6543041665395,6.732701301574707,1898.7103279512064,0.014164750464260578,0.915324866771698,0.0775379166007042,0.007137265522032976,False,True,True,15.319879531860352,epoch002_train_08_ha_seg004_proc_spk0.wav
0,2,11_ha_seg145,0.054162006825208664,False,1485.817940189926,5.502963066101074,1779.6808339198078,0.006115675438195467,0.9279837608337402,0.06993096321821213,0.002085267100483179,True,True,True,11.430328369140625,epoch002_train_11_ha_seg145_proc_spk0.wav
0,2,16_ha_seg020,0.04922432452440262,False,1341.8919075961362,6.46798849105835,1806.4786322506368,0.008947617374360561,0.9678500294685364,0.027422841638326645,0.00472705764696002,True,True,True,13.00851821899414,epoch002_train_16_ha_seg020_proc_spk0.wav
0,4,08_ha_seg004,0.022588400170207024,False,1848.4026556887443,5.303533554077148,2254.0032738239347,0.02914523147046566,0.9609522223472595,0.031113702803850174,0.007934102788567543,False,True,True,18.72466468811035,epoch004_train_08_ha_seg004_proc_spk0.wav
0,4,11_ha_seg145,0.07586859911680222,False,1207.0268741796715,5.765799522399902,1469.777528034566,0.003814732190221548,0.9304031133651733,0.06833624839782715,0.0012606829404830933,True,True,True,11.511564254760742,epoch004_train_11_ha_seg145_proc_spk0.wav
0,4,16_ha_seg020,0.0469854511320591,False,1230.9432112429556,6.117232322692871,1741.474534284228,0.005954342894256115,0.9841188788414001,0.01274203322827816,0.0031390192452818155,True,True,True,12.836519241333008,epoch004_train_16_ha_seg020_proc_spk0.wav
0,6,08_ha_seg004,0.023079534992575645,False,1625.4581182958357,5.995331764221191,2018.3572336872414,0.023402981460094452,0.962538480758667,0.029425684362649918,0.008035835810005665,False,True,True,17.277816772460938,epoch006_train_08_ha_seg004_proc_spk0.wav
0,6,11_ha_seg145,0.07332664728164673,False,1765.1052473034142,6.673239707946777,1825.280511940622,0.055424924939870834,0.7810240387916565,0.20110516250133514,0.017870722338557243,False,True,True,12.186321258544922,epoch006_train_11_ha_seg145_proc_spk0.wav
0,6,16_ha_seg020,0.039137717336416245,False,1415.5847161003792,6.0960693359375,2034.067830244584,0.0574219785630703,0.9789958596229553,0.007990462705492973,0.013013645075261593,False,True,True,13.843804359436035,epoch006_train_16_ha_seg020_proc_spk0.wav
0,8,08_ha_seg004,0.026495130732655525,False,1647.0850388815293,5.410274982452393,1993.6661330587463,0.008737007156014442,0.974603533744812,0.02140594646334648,0.003990496043115854,True,True,True,19.57883644104004,epoch008_train_08_ha_seg004_proc_spk0.wav
0,8,11_ha_seg145,0.02605094574391842,False,1591.1962740946917,5.798764228820801,1945.0080785421183,0.00968068465590477,0.9560461640357971,0.039249666035175323,0.00470426119863987,True,True,True,11.37651252746582,epoch008_train_11_ha_seg145_proc_spk0.wav
0,8,16_ha_seg020,0.05479779094457626,False,1233.124575109515,5.996741771697998,1789.824657201428,0.015044867992401123,0.9886648058891296,0.007271377369761467,0.004063860513269901,False,True,True,13.439498901367188,epoch008_train_16_ha_seg020_proc_spk0.wav
0,10,08_ha_seg004,0.008540434762835503,False,2241.3099253446558,7.332050800323486,2285.619080841461,0.07938592880964279,0.8187416195869446,0.14278237521648407,0.03847599774599075,False,True,True,18.27326011657715,epoch010_train_08_ha_seg004_proc_spk0.wav
0,10,11_ha_seg145,0.05052421614527702,False,1094.8621152064982,5.519979000091553,1564.9498692851776,0.0027943789027631283,0.9905058741569519,0.008451088331639767,0.0010429967660456896,True,True,True,10.272100448608398,epoch010_train_11_ha_seg145_proc_spk0.wav
0,10,16_ha_seg020,0.05560367554426193,False,1188.4829710422262,5.825747013092041,1791.9024849004816,0.008288680575788021,0.989799439907074,0.007253825664520264,0.0029468194115906954,True,True,True,12.805007934570312,epoch010_train_16_ha_seg020_proc_spk0.wav
0,12,08_ha_seg004,0.026927543804049492,False,1588.911588058181,5.81087589263916,1940.8561044004787,0.017206702381372452,0.9460778832435608,0.047716088593006134,0.006206049583852291,False,True,True,17.244525909423828,epoch012_train_08_ha_seg004_proc_spk0.wav
0,12,11_ha_seg145,0.021368760615587234,False,1760.788495367075,5.925026893615723,1985.1457158597723,0.013586822897195816,0.9273059368133545,0.06530343741178513,0.007390608545392752,False,True,True,12.370285987854004,epoch012_train_11_ha_seg145_proc_spk0.wav
0,12,16_ha_seg020,0.06205769255757332,False,1027.7347321402472,5.764237403869629,1572.6719625269773,0.00405903859063983,0.9960245490074158,0.0027213513385504484,0.001254003494977951,True,True,True,17.601280212402344,epoch012_train_16_ha_seg020_proc_spk0.wav
0,14,08_ha_seg004,0.04230975732207298,False,1602.6168031478678,5.2999043464660645,2069.697816742625,0.06021996960043907,0.9752665758132935,0.011819119565188885,0.01291431114077568,False,True,True,20.24640655517578,epoch014_train_08_ha_seg004_proc_spk0.wav
0,14,11_ha_seg145,0.04218072444200516,False,1293.185351286329,5.931515693664551,1675.74242286757,0.01071122195571661,0.9639912247657776,0.03199603408575058,0.004012803081423044,False,True,True,10.65835189819336,epoch014_train_11_ha_seg145_proc_spk0.wav
0,14,16_ha_seg020,0.054784294217824936,False,1081.1288551198502,6.011638641357422,1621.7330209631532,0.0025014239363372326,0.9941856861114502,0.004366900306195021,0.001447355723939836,True,True,True,11.868097305297852,epoch014_train_16_ha_seg020_proc_spk0.wav
0,16,08_ha_seg004,0.04324839264154434,False,1635.4792304873324,5.037677764892578,1857.939378179321,0.0029993753414601088,0.9747944474220276,0.023568082600831985,0.0016373448306694627,True,True,True,20.253299713134766,epoch016_train_08_ha_seg004_proc_spk0.wav
0,16,11_ha_seg145,0.041313834488391876,False,1225.5350887132824,5.533477306365967,1624.2311987479864,0.002607212169095874,0.9824353456497192,0.015874238684773445,0.0016903941286727786,True,True,True,10.379124641418457,epoch016_train_11_ha_seg145_proc_spk0.wav
0,16,16_ha_seg020,0.043835531920194626,False,1276.6068152708317,6.032302379608154,1770.9264633895762,0.0052786231972277164,0.990912139415741,0.0066635217517614365,0.002424377715215087,True,True,True,14.579774856567383,epoch016_train_16_ha_seg020_proc_spk0.wav
0,18,08_ha_seg004,0.01296768244355917,False,2202.2641850387568,7.198811054229736,2236.0617584653405,0.1073608547449112,0.8111076951026917,0.1502469927072525,0.03864527493715286,False,True,True,20.696453094482422,epoch018_train_08_ha_seg004_proc_spk0.wav
