epoch,0,1,2
0,0.030383052,0.014483989,0.015481989
2,0.046480406,0.0058379113,0.0048653428
4,0.04848082,0.006426813,0.0050462345
6,0.0451813,0.004540543,0.005298248
8,0.03578129,0.004141602,0.0030383768
10,0.038222775,0.0046482966,0.0021667664
12,0.036784668,0.005051462,0.0021548623
14,0.046424925,0.004237505,0.001556898
16,0.042799253,0.0030917178,0.0013520685
18,0.04269056,0.0042654774,0.0010984497
20,0.03838418,0.0038895647,0.0011762133
22,0.039682195,0.0045290235,0.0011340528
24,0.042156827,0.0036670053,0.0009802086
26,0.03642891,0.0036763318,0.0009661973
28,0.031469174,0.0032089872,0.00087007397
30,0.031418074,0.0033373113,0.00079889334
32,0.04098834,0.00286498,0.00080352573
34,0.03950702,0.0028347329,0.00078770035
36,0.03459388,0.0026962776,0.0007394257
38,0.032870714,0.0028205551,0.0007351637
40,0.032945346,0.0028490403,0.00073753326
42,0.034152746,0.0026302536,0.00069121603
44,0.035859108,0.0027366264,0.0007190816
46,0.029373163,0.002828233,0.00072476343
48,0.03263852,0.0027312553,0.0007471558
